0	0.1	5860	6860	7660
0	0	6170	5860	6860
0	0	5760	6170	5860
0	0	5710	5760	6170
0	0	5190	5710	5760
0	0	5160	5190	5710
0	0	5160	5160	5190
0	0	5190	5160	5160
0	0	5210	5190	5160
0	0	5160	5210	5190
0	0	5340	5160	5210
0	0	5380	5340	5160
0	0	5650	5380	5340
0	0	5560	5650	5380
0	0	5120	5560	5650
0.1	0	4410	5120	5560
0	0.1	3620	4410	5120
0	0	3620	3620	4410
0	0	3980	3620	3620
0	0	4060	3980	3620
0.9	0	3650	4060	3980
1	0.9	3560	3650	4060
0	1	3720	3560	3650
0	0	3850	3720	3560
0	0	3900	3850	3720
0	0	4900	3900	3850
0	0	4220	4900	3900
0	0	4380	4220	4900
0	0	4000	4380	4220
0	0	3270	4000	4380
0	0	3790	3270	4000
0	0	3940	3790	3270
0	0	3500	3940	3790
0	0	3180	3500	3940
0	0	3390	3180	3500
0	0	2870	3390	3180
0	0	2050	2870	3390
0	0	2560	2050	2870
0	0	3170	2560	2050
0	0	3180	3170	2560
0	0	2890	3180	3170
0	0	3160	2890	3180
0	0	3140	3160	2890
0	0	2950	3140	3160
0	0	2620	2950	3140
0	0	2920	2620	2950
0	0	3460	2920	2620
0	0	2720	3460	2920
0	0	2500	2720	3460
0.2	0	2580	2500	2720
0	0.2	2550	2580	2500
0	0	2670	2550	2580
0	0	2460	2670	2550
0	0	2160	2460	2670
0	0	1890	2160	2460
0	0	2810	1890	2160
0	0	3390	2810	1890
0	0	2220	3390	2810
0	0	2130	2220	3390
0	0	2690	2130	2220
0	0	2990	2690	2130
0	0	2580	2990	2690
0	0	2440	2580	2990
0	0	2370	2440	2580
0	0	2160	2370	2440
0	0	1930	2160	2370
0	0	1810	1930	2160
0	0	2040	1810	1930
4.3	0	1720	2040	1810
12.5	4.3	1740	1720	2040
0	12.5	1910	1740	1720
1	0	1830	1910	1740
0	1	2050	1830	1910
0	0	2320	2050	1830
0	0	2060	2320	2050
0	0	1930	2060	2320
0	0	1810	1930	2060
0	0	1340	1810	1930
0	0	1470	1340	1810
0	0	1860	1470	1340
0	0	1780	1860	1470
0	0	839	1780	1860
0	0	1230	839	1780
0	0	1610	1230	839
0	0	1080	1610	1230
0	0	1490	1080	1610
0	0	1930	1490	1080
0	0	1940	1930	1490
0	0	2610	1940	1930
0	0	2120	2610	1940
0	0	1510	2120	2610
0	0	1430	1510	2120
0	0	1070	1430	1510
0	0	812	1070	1430
0	0	918	812	1070
1.3	0	464	918	812
0	1.3	399	464	918
19.6	0	634	399	464
1.3	19.6	699	634	399
0.1	1.3	1140	699	634
0	0.1	1280	1140	699
0	0	1910	1280	1140
0	0	1860	1910	1280
7.1	0	1900	1860	1910
19.5	7.1	1370	1900	1860
1.7	19.5	1120	1370	1900
0	1.7	1880	1120	1370
0	0	1320	1880	1120
14.2	0	1620	1320	1880
0	14.2	1630	1620	1320
0	0	1880	1630	1620
0	0	2020	1880	1630
3.7	0	1980	2020	1880
0.2	3.7	2650	1980	2020
4.6	0.2	2460	2650	1980
9	4.6	2490	2460	2650
15.1	9	2620	2490	2460
0.3	15.1	2130	2620	2490
2	0.3	2310	2130	2620
0	2	2070	2310	2130
0.5	0	1980	2070	2310
0	0.5	1950	1980	2070
0	0	1880	1950	1980
0	0	2020	1880	1950
63.8	0	1880	2020	1880
0.4	63.8	2000	1880	2020
0.2	0.4	2460	2000	1880
12.6	0.2	2410	2460	2000
0	12.6	2980	2410	2460
8.4	0	3330	2980	2410
1.4	8.4	3540	3330	2980
0	1.4	3520	3540	3330
1.7	0	3150	3520	3540
4.6	1.7	2660	3150	3520
7.4	4.6	1990	2660	3150
6.9	7.4	2080	1990	2660
0	6.9	2260	2080	1990
0	0	2350	2260	2080
19	0	2550	2350	2260
9.1	19	2590	2550	2350
0	9.1	2860	2590	2550
1.2	0	3170	2860	2590
8.7	1.2	3670	3170	2860
7.6	8.7	4500	3670	3170
0	7.6	5320	4500	3670
21.9	0	5470	5320	4500
0	21.9	5820	5470	5320
0	0	5410	5820	5470
0.5	0	5320	5410	5820
0.1	0.5	5730	5320	5410
25.6	0.1	4860	5730	5320
0	25.6	4180	4860	5730
59	0	4090	4180	4860
11.6	59	4360	4090	4180
3.6	11.6	4210	4360	4090
9.2	3.6	4520	4210	4360
0	9.2	5210	4520	4210
0	0	5750	5210	4520
38.4	0	5940	5750	5210
24.4	38.4	5840	5940	5750
19.4	24.4	5770	5840	5940
41.4	19.4	5600	5770	5840
0	41.4	5240	5600	5770
7.8	0	4960	5240	5600
0	7.8	4750	4960	5240
0	0	4330	4750	4960
0	0	4550	4330	4750
2.7	0	5320	4550	4330
15.9	2.7	5840	5320	4550
9.3	15.9	6500	5840	5320
0.6	9.3	6740	6500	5840
16.2	0.6	7450	6740	6500
0	16.2	7670	7450	6740
4.6	0	7480	7670	7450
8.5	4.6	7580	7480	7670
3.3	8.5	7910	7580	7480
0	3.3	7980	7910	7580
0	0	8100	7980	7910
0	0	7880	8100	7980
0	0	7660	7880	8100
0	0	6900	7660	7880
6	0	7040	6900	7660
16.6	6	7020	7040	6900
0	16.6	7250	7020	7040
1	0	8220	7250	7020
15.2	1	8210	8220	7250
3.6	15.2	8540	8210	8220
2.9	3.6	9010	8540	8210
55	2.9	8980	9010	8540
31.5	55	9780	8980	9010
0	31.5	9830	9780	8980
0	0	9500	9830	9780
0	0	9320	9500	9830
31.9	0	9360	9320	9500
33.6	31.9	9640	9360	9320
12.2	33.6	10100	9640	9360
0	12.2	9800	10100	9640
0	0	9770	9800	10100
29.1	0	9960	9770	9800
24.6	29.1	10400	9960	9770
10.6	24.6	10500	10400	9960
2.5	10.6	11100	10500	10400
0	2.5	12400	11100	10500
0	0	12900	12400	11100
0	0	13400	12900	12400
0	0	14000	13400	12900
0	0	14700	14000	13400
0	0	14400	14700	14000
1.4	0	13600	14400	14700
34.5	1.4	12900	13600	14400
0	34.5	12200	12900	13600
0.1	0	11900	12200	12900
1.9	0.1	12800	11900	12200
0	1.9	12700	12800	11900
0	0	13400	12700	12800
1.1	0	13400	13400	12700
0	1.1	13700	13400	13400
3.8	0	13800	13700	13400
0	3.8	13900	13800	13700
0	0	13700	13900	13800
