1380	0.0161
1650	0.0253
228	0.0342
456	0.0135
622	0.0276
160	0.0059
508	0.0490
0	0.0541
1030	0.0573
982	0.0455
1080	0.0419
814	0.0361
763	0.0240
638	0.0078
389	0.0062
59.6	0.0042
44.2	0.0115
0	0.0087
166	0.0128
87.1	0.0112
186	0.0465
139	0.0520
955	0.0175
950	0.0402
244	0.0656
781	0.0806
1290	0.0949
1550	0.0523
1840	0.0286
931	0.0335
507	0.0402
606	0.0194
738	0.0046
281	0.0125
0	0.0121
187	0.0109
159	0.0288
136	0.0308
541	0.0191
533	0.0747
287	0.1104
1610	0.0929
2170	0.0451
1730	0.0430
838	0.0142
804	0.0057
177	0.0044
29.6	0.0216
5	0.0056
395	0.0267
0	0.0251
508	0.0628
410	0.0778
1290	0.0837
1480	0.1011
1600	0.0838
1970	0.0805
1560	0.0608
1550	0.0318
1120	0.0154
554	0.1237
223	0.0161
2990	0.0125
101	0.0398
212	0.0067
785	0.0039
0	0.0581
0	0.0941
1280	0.1039
1860	0.1779
1990	0.1427
3750	0.0745
2580	0.0161
1520	0.0400
314	0.0415
770	0.0344
745	0.0447
602	0.0636
840	0.0801
1220	0.0790
1540	0.0910
1490	0.1270
1770	0.1026
2540	0.1058
1900	0.1565
2080	-0.0044
3180	0.0579
0	0.0801
1180	0.0919
1550	0.0772
1770	0.0188
1440	0.0549
307	0.0432
1060	0.0872
719	0.1307
1810	0.0983
2610	0.1388
1810	0.1560
2830	0.1456
2990	0.1726
2810	0.1339
3420	0.1243
2530	0.0979
2460	0.0993
1870	0.0891
1940	0.0859
1690	0.1115
1650	0.1206
2080	0.0670
2230	0.1045
1260	0.0788
2030	0.1238
1430	0.1439
2540	0.1474
2760	0.1422
2860	0.1402
2750	0.1371
2730	0.1240
2660	0.1449
2380	0.0773
2750	0.1041
1530	0.0883
2080	0.1185
1620	0.1141
2340	0.1201
2120	0.1661
2330	0.2234
3210	0.1476
4250	0.1632
2830	0.1452
3320	0.1062
2760	0.1420
2080	0.1582
2860	0.1969
3050	0.1974
3930	0.1387
3700	0.2044
2790	0.2029
4110	0.2677
3750	0.2963
5090	0.3316
5160	0.2918
6230	0.3202
5510	0.3566
6290	0.3782
6960	0.3454
7380	0.3155
6740	0.2997
6320	0.2681
5950	0.2813
5360	0.2115
5580	0.2582
4320	0.3193
5230	0.3682
6100	0.3854
7020	0.4018
7490	0.4632
7880	0.4912
8980	0.4487
9250	0.4145
8850	0.4375
8290	0.4015
8790	0.3895
7850	0.3855
7850	0.3805
7620	0.4043
7550	0.4242
7960	0.4618
8350	0.4734
9170	0.4827
9240	0.5554
9530	0.5822
11300	0.5840
11300	0.6343
11800	0.5922
12700	0.5502
11700	0.5347
11300	0.5248
10800	0.4840
10600	0.4953
9700	0.4816
10100	0.5093
9500	0.5162
10300	0.5351
10100	0.5640
10800	0.6230
11200	0.6847
12700	0.6238
13700	0.5610
12500	0.5643
11900	0.5549
11600	0.5199
11200	0.5274
10500	0.4604
10700	0.4796
9400	0.5013
9800	0.5162
9900	0.5417
10300	0.5437
10800	0.5754
10800	0.5847
11500	0.6425
11500	0.6521
13100	0.5947
12700	0.6108
12100	0.5406
12500	0.5258
10800	0.4729
10900	0.5002
9450	0.5206
10300	0.5665
10200	0.6118
11300	0.6475
12200	0.6669
13000	0.6896
13400	0.7374
14000	0.7299
15000	0.6769
14700	0.6527
13900	0.6465
13600	0.5978
13200	0.5746
12200	0.5667
11800	0.5513
11600	0.5414
11100	0.5766
11000	0.5601
11600	0.5875
11100	0.6687
